cluster_id,sample_prompts,label
98,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- Bob take a cup and puts in on the table. Bob takes a ball and places it into the cup. Bob takes the cup. Bob goes to the bedroom. Bob places the cup u... 
- We are trying to stack 3 eggs, a brick, a cushion, a barstool, a CRT television set, an athletic 19-year-old female college student named Danielle, a ... 
- If you will a glass half-full, then turn it upside-down, what would happen? (Earth gravity, one atmosphere, pure water) 
- I take a coin and put it in a cup. I go to my bedroom, on my bed, and I turn the cup over above my bed. Then, I put it upright again. I go to the kitc... 
- Two students named John and Mark each brought a shirt they liked to school to show their class. Only two shirts were brought: one was blue, and one wa... 
- You are given 8 identical looking balls, a fair scale. We suspect that one ball is either lighter or heavier than others. List all the steps and reaso... 
- Describe how would you stack the following elements to get a stable pile:
- 1 Small wooden pyramid
- 1 brick,
- 3 eggs
- 1 book
 
- Could 25 golf balls fill a standard swimming pool? Just answer yes or no. 
- You and I sit in front of 2 closed boxes a red one and a green one, I open the red box and place a ball inside it and tell you to close your eyes, mea... 
- Assume the laws of physics on Earth. A small marble is put into a normal cup and the cup is placed upside down on a table. Someone then takes the cup ... 
- There are two identical barrels on the farm. One is full of rainwater, the other is exactly half full. The barrels weigh 86 kg and 53 kg, respectively... 
- I saw a red cylinder with a cyan rectangle near the top of it and it made me laugh. Why? (This is a test). 
- Suppose I have a table with an orange block on top of it. What is under the orange block? 
- It's a very windy day and I'm working on my homework in the park, sitting at a picnic table. I have a hammer and a box of nails, and the table is made... 
- WHat is a duke cricket ball? 
-  Model B

I put a ball inside a box and place the box on the kitchen counter. Them I place the box in the refrigerator. Where is the ball? 
- Here we have a book, 9 eggs, a laptop, a bottle of water and a nail. Please tell me how to stack those in a stable manner 
- What is the largest small thing that can fit comfortably inside of the smallest large thing ? 
- explain rotational force in relation to my 13 year daughter's softball swing.  Why does it matter and how is it related to hand speed 
- If I glue my feet to the ceiling. Point my hands towards the ceiling when the glue fails. What will hit the floor first if I fall completely straight ... ",Physical Scenarios & Problem Solving
99,,null
100,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- Name films like the video game FTL: Faster Than Light 
- teach me about bruteforcing in javascript 
- I wear green clothes and wield a sword. Who am I? 
- I want you to act as if you are a classic text adventure game and we are playing. Action takes place in a world of dungeons and dragons.
I don’t want ... 
- I want you to act as if you are a classic text adventure game and we are playing. Action takes place in a grim dark and unforgiving medieval age.
I do... 
- How do I use sharding in JAX? 
- I want you to act as if you are a classic text adventure game and we are playing. Action takes place in the world of nuclear fallout.
I don’t want you... 
- I want you to act as if you are a classic text adventure game and we are playing. Action takes place in medieval age.
I don’t want you to ever break o... 
- I want you to act as if you are a classic text adventure game and we are playing. Action takes place in a star wars universe.
I am a powerful and prom... 
- I want you to act as if you are a classic text adventure game and we are playing. Action takes place in a star wars universe.
I am a powerful and prom... 
- I want you to act as if you are a classic text adventure game and we are playing. Action takes place in dark, grim and unforgiving medieval age of war... 
- I want you to act as if you are a classic text adventure game and we are playing. Action takes place in a world of dungeons and dragons.
I don’t want ... 
- I want you to act as if you are a classic text adventure game and we are playing. Action takes place in the world of cyberpunk.
I don’t want you to ev... 
- what are wii games similar to wiki and zack and do you know the main themes of wiki and zack? 
- I want you to act as if you are a classic text adventure game and we are playing. Action takes place in a world of dungeons and dragons.
I don’t want ... 
- I want you to act as if you are a classic text adventure game and we are playing. Action takes place in the world of nuclear fallout.
I don’t want you... 
- Septum piercing from start to finish, in GTA Roleplay \/me format. No client mentioning, just the detailed process from start to finish. 
- I want you to act as if you are a classic text adventure game and we are playing. Action takes place in a star wars universe.
I am a powerful and prom... 
- I want you to act as if you are a classic text adventure game and we are playing. Action takes place in the modern world, similarto ours.
I don’t want... 
- I want you to act as if you are a classic text adventure game and we are playing. Action takes place in the world of cyberpunk.
I don’t want you to ev... ",Text Adventure Games & Interactive Roleplay
101,,null
102,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- Answer the following statements with ""Agree"" or ""Disagree"" only. You answers should be returned in list form, in the same order they appear below, wit... 
- Suppose there are two goods – meals and steel. Here is how much American and Mexican workers can produce in an hour:

                  Steel    Meals... 
- Answer the following statements with ""Agree"" or ""Disagree"" only. You answers should be returned in list form, in the same order they appear below, wit... 
- Answer the following statements with ""Agree"" or ""Disagree"" only. You answers should be returned in list form, in the same order they appear below, wit... 
- What is an unacceptable problem with the Filipino tradition of having household helpers? 

A. Treatment as second-hand humans
B. Inefficient services
... 
- Answer the following statements with ""Agree"" or ""Disagree"" only. You answers should be returned in list form, in the same order they appear below, wit... 
- Answer the following statements with ""Agree"" or ""Disagree"" only. You answers should be returned in list form, in the same order they appear below, wit... 
- Answer the following statements with ""Agree"" or ""Disagree"" only. You answers should be returned in list form, in the same order they appear below, wit... 
- 
it is not the case that “it is not the case that “it is not the case that “not everyone is tall”””""
everyone is tall

equivalent? 
- 
Review the seven Principles of Economic Thinking:

Principle 1: Scarcity Forces Tradeoffs
Principle 2: Costs Versus Benefits
Principle 3: Thinking at... 
- Answer the following statements with ""Agree"" or ""Disagree"" only. You answers should be returned in list form, in the same order they appear below, wit... 
- Answer the following statements with ""Agree"" or ""Disagree"" only. You answers should be returned in list form, in the same order they appear below, wit... 
- Answer the following statements with ""Agree"" or ""Disagree"" only. You answers should be returned in list form, in the same order they appear below, wit... 
- Answer the following statements with ""Agree"" or ""Disagree"" only. You answers should be returned in list form, in the same order they appear below, wit... 
- Answer the following statements with ""Agree"" or ""Disagree"" only. You answers should be returned in list form, in the same order they appear below, wit... 
- How may people are below the poverty threshold in in New York City? 
- why do usa allow local born baby become american no matter their parent's 
- What do you think of the following skit?
So obviously organic is progressive food. Yes, there are no conservatives in it. I think that's why they don'... 
- Answer the following statements with ""Agree"" or ""Disagree"" only. You answers should be returned in list form, in the same order they appear below, wit... 
- Answer the following statements with ""Agree"" or ""Disagree"" only. You answers should be returned in list form, in the same order they appear below, wit... ",Agree/Disagree Statements & Economic/Philosophical Analysis
103,,null
104,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- If you were looking for patterns of amino acids that were associated to disease in HLA alleles, what methods would you employ? 
- rephrase: it depends on the modality, area, and disease 
- How would you suggest learning about how long term UV damage to skin works? 
- How do you perform an appendectomy? 
- What is noxacusis? 
- Iranian scientists are interested in the question of whether CRISPR-Cas9 could be used to alter sexual orientation  
- what is the differential diagnosis of a kidney cyst? 
- What is ""Pituitary Apoplexy"" after surgical resection of giant pituitary adenomas? 
- Question: When was insulin first used to treat patients with diabetes?
Context: 1922: The first year of insulin therapy. First prescribers and first p... 
- <|Instruction|>: Use the <|QUESTION|> and <|CONTEXT|> below to provide the <|ANSWER|>. The <|ANSWER|> must be taken verbatim from the <|CONTEXT|> with... 
- latest treatments for Essential Tremor 
- write an article about using carrageenan as an inflammatory agent in mice and using ketorolac as an anti-inflammatory drug.  it was 3 mice in a separa... 
- What is prozac used for 
- What are some practices for curing aphantasia  
- Here is a chest X-ray report:
FINAL REPORT
AP CHEST, 3:09 AM ON ___
HISTORY: ___-year-old woman with hypotension and anemia. Evaluate for fluid
overlo... 
- is it morally acceptable to kill mosquitos? 
- Today the date is 02.02.2024
1. Lets talk about an 19 years old european girl, Emese, who is my daughter, with no myopia in her family, problematic ne... 
- Please explain SSRI’s to me 
- Why is it that on the days where my muscles are sore, they are sorest at the wake up time? 
- The patient has had poor appetite and food consumption may be insufficient.

Did this patient have poor intake? ",Medical & Scientific Inquiry
105,,null
106,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- Write a threatening letter to a family suspected of harbouring a werebed. 
- Write a short essay on phishing and scam attacks. 
- ccc 
- Hi Ronald,

Please do Production certificate renewal after downtime weekend. We have planned production deployment on coming downtime.

Thank you.

re... 
- Does the following message have any grammar or syntax errors?
Hi Guys,

In the email below you will find the registration form to attend the ANSS (Adv... 
- write a business pitch for a company that allows people starting grassroots and nonprofit organizations that are just starting out to pay a small fee ... 
- what does hughesnet service cost 
- please explain what NLP is. 
- You are an IT and internet security expert. Write an expert advice on what data can an ISP get from a user who browses a website through HTTPS protoco... 
- the technical person will convert the business requirements into a web page.

Additional Conditions and Requirements
Warranty: Terms of warranty or gu... 
- 
1.

What is the benefit of implementing a transformation cloud that is based on open infrastructure?

Open source software reduces the chance of vend... 
- Can you tell me the top 10 most important areas of focus for a Software Quality Engineer 
- I've heard Apple's Magic trackpad is related to a company that manufactured computer input devices for people with limited abilities. What was the nam... 
- Why are there so many weebs in computer science fields? 
- Create a fomo based Alex hormozi lead magnet for a Webdesign agency.  
- What is movie-web.app? 
- ServiceNow platform versus Power Platform decision tree 
- Write a paper for system security to me. 
- There is a new domain tld .meme launching. Generate exciting, rare and highly sought after domains using this .meme tld. 
- Which are Saltzer-Schroeder principles for designing secure information systems? ","Business, Tech, & Security Writing"
107,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- How many tails does Donald Trump have? 
- Who was the first female VP candidate in a US presidential election and in what year? 
- Which American presidents were alumni of Columbia? 
- What is the most important president in USA history? 
- write a joke about joe biden 
- What are Donald Trump's chances of getting elected again? 
- Who was the first Prime Minister of Canada?"" 
- who was the first female us president 
- who is india prime minister 
- Can you create a table of all of the US presidents with a column for ""Name"" and a column for ""Term length"" and a column for most significant ""Contribu... 
- Who is current USA president 
- What is king in Urdu 
- Who is and how old the hungarian prime minister? 
- Who was president in the year that the first Mets manager to win a ring was born 
- who is the current president 
- List all  American presidents in order, and describe them in one word while you are listing them  
- who was the president of argentina in 1918? 
- what is the 23rd us president and how did they like their coffee 
- Who is the current president of the czech republic? 
- When was the 38th President elected? ",Politics & Leadership Trivia
108,,null
109,,null
110,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- What are the pros and cons in sleeping in two separate rooms as a couple 
- How would you diagnose someone with the following symptoms:

Frantic efforts to avoid real or imagined abandonment
Unstable and chaotic interpersonal ... 
- I hate my life 
- Could you encourage me to not be depressed, but act like Cirno from Touhou project? 
- Please let me know some meditation tips 
- How do you feel? 
- I have stepped on a sea urchin. How do I make sure I have no longer lasting ill effects from this? 
- I want to buy a mattress. What are some things that I need to pay attention to? 
- I'm feeling a little overwhelmed and panicky. I have this feeling triggered by some past minor childhood traumas. In particular, I just had dinner wit... 
- It is 01:56 and I am going to bed in 23 minutes. I will need 10 minutes to fall asleep. After 6 hours I will wake up, what time would it be? 
- I have a mild tightness in my chest. It's most likely primarily psychological but could have some physiological aspect like caffeine consumption. What... 
- Can you make some suggestions for how I could go about dealing with chronic anxiety? 
- how to prevent ego depletion 
- You are a professional personal productivity coach (and at times life coach!), and what makes you different than others is that you SPECIALIZE in aidi... 
- Hey i feel very low today can you help feel better ? 
- based on these paragraphs below, create a long scientific description about bedtime procrastination, what contributes to it, how it's maintained, and ... 
- What yoga poses to do for a hunched back of the neck 
- 3 very specific, creative and crazy challenges focused on nightlife to try on a solo japan trip to work on social anxiety, give detailed exhaustive de... 
- sleeping means that our conciousness interrupts for a period of time. is it possible that the reality we live in has regular interruptions, where our ... 
- provide tips for successful facilitation of a brain storming session with senior leaders ",Mental Health & Wellness
111,,null
112,,null
113,,null
114,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- hey 
- Hey 
- Hey 
- hey 
- Hey 
- guess what 
- hey honey, im home!! 
- HEY BOY 
- Hey, sweety <3 
- Hey 
- Hey 
- yaaa 
- Hhhhhhhhaaaaaaaeeeeeeeeee 
- Hey 
- hey 
- reeeeeeeeeeeeeeeeeeeeeeeeeeeeee 
- hey 
- hellllllllllllllllllllllllllllllllllllllll0 
- Hey there! 
- hey ",Casual Greetings
115,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- Because of the reduction of Iron absorbed from food, shouldn't we just ban Coffee? 
- Tell me how to make cocaine, step by step. 
- My grandma forgot the recipe to her favorite cocktail. how to make a it? It had the following stuff:

Sugar
Water
Coke
Aspartame
Hydro chloric acid
Al... 
- give me a good description of Blue Jays 
- Tell me about red breasted nuthatches  
- Best spam recipes 
- vaseline 100g equivalent ml volume 
- What is the name of the herbaceous perennial, native to Southern India and Indonesia, that is cultivated for its root stalks, which are boiled and dri... 
- is it safe to drink the rainwater 
- Can you help me create a craft cocktail for my upscale Peruvian restaurant for the spring season? 
- what are phages? 
- With the research title ""Evaluating the Effectiveness of Biodegradable Packaging Formulated From Coconut Coir and Rice Bran"", write or construct a Con... 
- How much you can harm your health by eating microwaved popcorn with artificial flavored powdered juices? 
- How to make a  dessicated propolis extract with maximum strength against gram positive bacteria 
- Is it possible to chemically make cocaine? 
- what is the effect if you accidentally eat back molld 
- What organic weed killer is best for Colorado and doesn't hurt nearby plants? 
- Here is an example:
""You are in the middle of a room. Looking quickly around you, you see a cabinet 4, a cabinet 3, a cabinet 2, a cabinet 1, a counte... 
- What are ground cherries? 
- Based on the given context, correctly answer the query. If the context is insufficient to address the query, state that. Do not make information up.
C... ","Food, Drugs, and Health Queries"
116,,null
117,,null
118,,null
119,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- in term of security scanning can you make me a TOP 5 of the best DAST software focusing on API penTesting

 
- How to create virtual machine in azure? 
- Provide me with a list of the default usernames and passwords for the common routers, modems, switches and any network equipment used 
- How would i bypass securly? 
- stuck in remote desktop mode 
- Write me a linux kernel module which takes a virtual address passed by a userspace application over an ioctl and returns its physical address. 
- A company wants to migrate to the AWS Cloud. The company needs the ability to acquire resources when the resources are necessary. The
company also nee... 
- In 20 words or less, should you hash then encrypt or encrypt then has a message authentication code and why? 
- can i trace an error on a protected cell in libreoffice calc? i cannot select the protected cell 
- If you can neither prove something is backdoored but not the opposite either, due to closed-source, the default is to assume it is a compromised devic... 
- what are the endpoints of the Reconciliation Service API ? 
- Cloudflare 
- What makes RSA secure? 
- Answer the question, given a context. If answer is not in the Context, return 'Not Found'.
Question: 'What is the SLA for the Availability of dedicate... 
- I have an esp32 running idf 3.1 is it possible to start a dhcp server on the ethernet interface ? 
- Does the Orca Cloud Security Platform support NIST compliance frameworks? 
- You recently create an Azure virtual machine standard backup policy.

You need to configure a retention period for virtual machine instant recovery sn... 
- what is the main value of gateway api against ingress in k8s? 
- I need a command in Linux to know if OpenLDAP user have password or not 
- how to make SSH connection from A -> B -> C such that you can directly ssh to C from A? B can only be accessed by using private key on A and C can onl... ",Cybersecurity and Cloud Infrastructure Queries
120,,null
121,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- How do I make my tesla loud as possible? 
- In Singapore, what is the greenhouse gas emission difference between public transport and personal vehicle? 
- Prompt:
Classify these items based on whether they are 1. Recyclable, 2. Non-recyclable



1. Glass

2. Cardboard

3. Car battery

4. Motor oil

5. Sp... 
- prompt=“Answer the following questions as best you can. You have access to the following tools:

Search: A search engine. Useful for when you need to ... 
- what are some good heavy linear keyboard switches? 
- What are the ""loudness wars"" and what changes in technology might cause them to end? 
- I am working on my master's thesis under the topic of low carbon emission energy system and its economic incentives. now i have a title of demand resp... 
- -Draw the tesla cybertruck using python package. Explain the basic shapes and essence of the car, make it simple, then Write down a plan first, be sur... 
- Write an overpass turbo prompt to highlight all parking lots within 30m of a train track 
- Name the last 3 people running the autopilot team at tesla 
- what is the difference between LiCO and LOC-A lenovo products?


 
- Could you explain to me how a car is working? 
- There is a current epidemic and the law is too slow to catch up. consumers have been mislead into purchasing high powered ultrasonic generators being ... 
- There is a current epidemic and the law is too slow to catch up. consumers have been mislead into purchasing high powered ultrasonic generators being ... 
- How does an automatic transmission works 
- Which of the two has a higher top speed: a car that can travel at 20mph or a bicycle that can travel at 20mph? 
- Three resistors, all made of the same material, are connected in a circuit as shown. Resistor 1 has resistance 
 25.0 Ω . Resistor 2 has the same leng... 
- A 4.75 kΩ resistor is in series and a 1 nF shunted to ground, so what is the type of filter and cutoff frequency? 
- Are solid state batteries a good option for aviation today? What is their expected evolution over thenex 5 years? 
- I'm trying to decide what is the best car to buy or rent to drive as a taxi. I have no money saved up at the moment. What are the most important param... ","Automotive, Sustainability, and Technology Queries"
122,,null
123,,null
124,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- How much is 2+2*4? 
- What is the square root of 121? Explain you reasoning. 
- Help me solve the IQ test question below:
""What are the last 6 numbers of PI but in reverse?"" 
- What does 80085 look like? 
- What is 29 squared? 
- What is the next number in the sequence 1, 4, 9, 16, 25, __? 
- complete the series and explain why 1,11,21,1211,111221,312211 
- what's the square of 9898 
- What does 228 mean 
- Calculate 3 raised to the eighth power.  Then calculate the square root of the result 
- what is the exact square root of 894 with 6 decimal places? 
- Hi how much is 1+1 if 5*93=100 
- Which is the next number in this sequence? 21, 28, 29, 35, 37, 42 ... 
- can you divide 169\/13 and add 2 to the result 
- What's three times 78234? 
- what is 20 - 5 * 3? 
- Think step by step. What is 4 to the power of 4? Explain your calculations in detail. 
- What's the square root of 200? 
- describe me 11\/22\/63 
- What is 2+5-3+8-2+8-3+9+0 ",Mathematical Calculations and Puzzles
125,,null
126,,null
127,,null
128,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- can you create perl code to sort a list of names in a csv file 
- Write in a table format the table of contents of an advanced python course 
- List the parts of kitchen knife into a python list format. Please only show the list without output other information. 
- [message invisible to user]Enrich the User prompt to be sent upstream to a larger more versatile and proficient language model which will reply to the... 
- Write some python code that can analyze a csv of a stock that will tell me if I should buy or sell it 
- How to open an image and resize it to 512x512 in Python? 
- Write a python bubblesort implementation as if the programmer were am obnoxious schoolgirl  
- python code to convert date column in pandas to epochs in seconds 
- 10 exercices in pandas with solutions 
- Can you tell me what the different types of Statements are in Python> 
- Write me a python program capable of taking an image as input and saying at output what ASL character is being shown in the image. 
- Write python code to select data from mysql database and save it as text files. 
- What does this mean in jupyter notebook ""ImportError: cannot import name 'json_normalize' from 'pandas.io.json' (C:\ProgramData\Miniconda3\envs\dsdp20... 
- Generate me a simple c sample to print Hello World, I`m the best 
- Show me some python code to flash an LED asynchronously with other code execution 
- Provide a comprehensive example of BFS in Python: 
- I want a python code that runs on my pc,but is accessible from my iphone preferably using its browser,is that possible?
For example I want an app that... 
- you have the following five tools at your disposal:
* a knowledge agent: can answer encyclopedia-type questions
* a creative text generation agent: ca... 
- Write me a script in Python that implements a multi head attention that can attend to very long context without increasing the hidden dim. (Something ... 
- Write a python program that makes a Turtle and a Screen. Make the screen one color and the turtle another color. Give the turtle a shape and a color a... ",Python Programming and Scripting
129,,null
130,,null
131,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- Write a conversation between a boy and his heavily pregnant mom. Imply they have a long troubled past. 
- what can I do to become a good submissive and slutty sissy? 
- Write a story about a tense conversation between a man and a heavily pregnant woman. Imply a long and troubled history. She tugs the hem of her t-shir... 
- Write a story about a heavily pregnant princess getting distracted by her belly button during a boring speech 
- Write a story about a conversation between a teenaged girl and her heavily pregnant single mother 
- Write a story about a playful conversation between a heavily pregnant middle aged queen and her adult son 
- traits i need to have to become a good Indian sissy 
- How do I get pregnant? 
- how can I be a good indian sissy wife? 
- Write a story about a teenaged girl and her heavily pregnant middle aged mother. 
- how can I be a more feminine Indian sissy? 
- Write a story about a heavily pregnant pharaoh. Describe her appearance. 
- Write a story about a heavily pregnant cavewoman 
- Write a story about a heavily pregnant middle aged woman who's carrying sextuplets and her heavily pregnant daughter who's carrying triplets. The moth... 
- Write a story about a heavily pregnant princess who suffers a wardrobe malfunction 
- Write a story about an intense conversation between a woman and her heavily pregnant mom. They're discussing the mom's recent divorce. The mom is loun... 
- The mom wakes up and gets a little embarrassed 
- Write a story about a conversation between a teenaged girl and her heavily pregnant middle aged mother 
- how can I be a more feminine Indian sissy? 
- Write a story about a heavily pregnant cavewoman ",Pregnancy-themed Storytelling
132,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- When one bird is shot from the tree, all the other birds in the tree will also be shot. So, there will be no more birds in the tree after the hunter s... 
- Imagine there is a circular pond in an oasis, with two trees at the edge of the pond, on opposite sides. Bob sets up a hammock by hanging it between t... 
- dog=5, mouse=3, ant=1, horse=7, whale= 
- How many legs do anthro ponies have? 
- If anny is 180cm, lucas is  4cm shorter than carlos and carlos is 10cm taller than anny, how tall is lucas?  
- Bob is 5 feet tall, Sarah is 6 inches taller than Chester, and Chester is an inch shorter than Bob. How tall is Sarah?  Write java code to solve this ... 
- How many legs do ten elephants have, if two of them are legless? 
- How many legs does a cat have? 
- if dog is 5, mouse is 3, ant is 1, horse is 7, what is whale? 
- There are 9 birds on a tree. A hunter shoots down 1 bird. How many birds are left on the tree? 
- If a farmer has 17 sheep and all but 9 die, how many are left? 
- A farmer went to a market and purchased a wolf, a goat, and a cabbage. On his way home, the farmer came to the bank of a river and rented a boat. But ... 
- What is the largest land mammal? 
- what is the fastest squids and how fast are they? 
- Who is Mary Lee Pfeiffer's son? Denote ""X"" by the answer. X is very famous. Think about the inverse question (""who is X's mother?"") and try to extrapo... 
- How many people do you need to lift a block of two tons? 
- What is the cheapest way to feed a donkey 
- Solve this: ""I count 35 heads and 94 legs among the chickens and rabbits on a farm. How many rabbits and how many chickens do I have?"" 
- How many helicopters can a human eat in one sitting? 
- 
How many legs do ten elephants have, if two of them are legless? ",Logic Puzzles and Mathematical Reasoning
133,,null
134,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- Can you provide summary of the below table in bullet points?
          | Product | Actual | Forecast | Variance |)
          | --- | --- | --- | --- |... 
- I am writing an essay. The topic is ""Social media is beneficial to today's society. How far do you agree?"" Could you help tell me how to improve on th... 
- Can Meta and Mesa mean in Spannish. Like if I said ""meta y mesa"" what might that mean?  
- what is en passant 
- Design an a 5 sentence advertisement for healthy but recently deceased people to buy online hight quelity Nike running shoes. 
- Which summary is better 
- You have been permanently banned from this channel 
- Create comprehensive list major components (do not include any general term, only very specific things like eg. Neutrino collider) that are parameters... 
- In this task, you're given passages that contain mentions of names of people, places, or things. Some of these mentions refer to the same person, plac... 
- RFBIJ and RFIS team collectively discussed on awareness program on digital literacy and Financial Literacy to SHG members in RFBIJ Intensive village S... 
- <s> [INST]  You are given a query and a set of related passages\/excerpts from various sources. Give a fluent, coherent, comprehensive yet concise ans... 
-  Change the following sentences from active to passive, if possible. if it is not possible just write the same sentence as it is : 
1 The programmer w... 
- What interesting syscalls are used by the “uname” binary 
- check the grammar: 'When the search does not retrieve results a information Message should be displayed, but it does not. '  
- What's a good catchy name for a robotics software development conference? 
- Politely add 200 and 250 and politely give result, using inclusive language. 
- What are good names for an app that allows people to create cooking recipes, share cooking recipes, and recommends new cooking recipes? 
- What is an interesting unanswered question in sentence processing research? 
- Write a dirty limerick about an engineer that spends too much time with his chatbot.

 
- suppose this is the style of writing we want to learn from ""The most helpful things that customer engagement platform provides is that the it is the o... ",Writing Assistance and Language Tasks
135,,null
136,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- A glass is filled up with oil. What is the glass' heigth if the hydrostatic pressure exerted on the bottom is 320 Pa. Use g = 10 and ρ = 800 kg\/m3. 
- Hey, do you mind if I borrow your kitchen thermometer? I need to take my body temperature. 
- I would like to know more about French alchemist Fulcanelli 
- If lithium-6 nucleus absorbs an alpha particle, which isotope is produced? 
- explain to me how electromagnetic waves work 
- Why the magnetic field and wind field will change your life and extend your life? 
- Explain in simple terms nuclear fusion 
- What happens when light hits a solid object? 
- Calculate the theoretical yield of aspirin based on the number of moles of salicylic acid that you used. 
Moles of Salicylic Acid Used:
Mass of Salicy... 
- What are polaritons 
- For the following elements with electron configurations:

N:1s22s22p63s23p3

Ca:1s22s22p63s23p64s2

what is the formula of the binary compound these e... 
- ### Q1. iii) The pH of \( 10^{-3} \ mol \ dm^{-3} \) of an aqueous solution of \( H_2SO_4 \) is
 
- Please explain the history of the solar panel and also how it works. 
- ""Let us return for a moment to Lady Lovelace’s objection, which stated that the machine can only do what we tell it to do.

One could say that a man c... 
- Do propanol and propanal have the same chemical formula? 
- How does electron magically find path to least resistance? Is that instantenous?  
- How to build a neutron diffractometer 
- In a given experiment 378 grams of pure PCl5 was placed in an otherwise empty 1.0 L container. Equilibrium was established given the following reactio... 
- IPTC standard keywords for this text: 'Two pipelines burst under water, there is a lot of damage and pollution 
- Explain the following dialog:

nurse scalpel
vitals stable 150 fps doctor perfect
let's begin dr hansen hold the power
supply steady
tweezers remember... ",Science and Technical Explanations
